남이섬,1,5,2019년6월18일,봄에는 벚꽃이 만발하고여름에는 시원한 강가에서 스피드보트타고가을은 남이섬과 근교 자라섬이 단풍으로 불타고겨울은 순백의 남이나라. 또 가고싶다,봄에는 벚꽃이 만발하고여름에는 시원한 강가에서 스피드보트타고가을은 남이섬과 근교 자라섬이 단풍으로 불타고겨울은 순백의 남이나라. 또 가고싶다
남이섬,5,5,2020년8월16일,崔智友、裴勇俊主演的《冬日恋歌》感动了无数少女，也捧红了南怡岛这个地方。南怡岛位于北汉江畔，在韩国京畿道和江原道分界线上，距离首尔市区(首尔的东北边)还是有一段不近的距离。这里以狭长的横向水流而著称，景色四季各异，推荐在黄叶飘飘的秋天和白雪纷飞的冬季前往，岛上还有鸵鸟，鹿群和各种水鸟，以及会举行各种艺术和摄影巡展在片里无数次出现过的水杉林更是成为了热门拍照地。走进南怡岛，你会发现遍地都能回想起《冬日恋歌》的情节，俊尚和维珍初吻的长椅、两人约会骑过的单车、维珍走过的圆木。如果觉得步行太累，在南怡岛中央广场还有租赁自行车的地方，双人车1小时大概是10000韩元左右，可以和朋友恋人骑车环游这个小岛。,"Cui Zhiyou와 Yu Yongjun이 주연 한 ""Winter Love Song""은 무수한 소녀들에게 감동을 주었고 Nanyi Island의 장소도 붉게 불렀습니다. Nanyi Island는 북한 강 유역에 위치하고 있으며 한국의 경기도와 장원도의 경계선에 있으며 서울시 (서울 북동쪽)와 거리가 멀지 않습니다. 좁은 수평선으로 유명하며 사계절이 다르며 노란 잎과 눈이 내리는 겨울에는 타조, 사슴, 다양한 물새가 있으며 영화에 여러 번 나타나는 다양한 예술 및 사진 투어가 열릴 것입니다. 삼나무 숲은 인기있는 사진. Nanyi Island에 가면 ""겨울의 사랑 노래"", Junshang과 Virgin의 첫 키스, 두 사람이 자전거를 타고 데이트 한 자전거, Virgin이 걷는 통나무의 줄거리를 어디에서나 회상 할 수 있습니다. 걷는 것이 너무 피곤하다면, Nanyi Island의 중앙 광장에 자전거를 빌릴 수있는 곳이 있습니다. 2 인용 자동차는 1 시간당 약 10,000 원입니다. 친구와 연인과 함께이 섬을 자전거로 둘러 볼 수 있습니다."
남이섬,5,5,2020년7월3일,南怡岛，一个位於韓囯首爾近郊之世外桃源，岛之面積雖然不大，但風景秀丽，随着四季之变遷，当中景物亦因之改变，春樱、秋枫，再加上冬雪遍地，無令这南怡岛充滿万千的变化與色彩，所以真个是遊首爾必到之地，绝对不容错过。,"대한민국 서울 교외의 낙원 남이섬. 섬의 면적은 작지만 풍경이 아름답습니다. 사계절의 변화에 따라 풍경도 바뀝니다. 봄 벚꽃, 가을 단풍, 겨울 눈이 사방에, 이 남이섬을 변화와 색감으로 가득 채우는 것은 없기 때문에 서울을 방문 할 때 꼭 봐야 할 곳이며 절대 놓칠 수 없습니다."
남이섬,5,5,2020년2월18일,南怡岛很多韩剧都曾到过这里取景，岛上郁郁葱葱的树木很生态。这里有许愿树--初吻长椅--剧中咖啡厅&ldquo;恋歌之家&rdquo;--冬季恋歌快照展--恋人之门--冬季男女主角雕像--冬季剧中最著名的水杉路--江边散步路--春川鸡排如何到达：在首尔综合客运站&mdash;&mdash;春川长途汽车客运站（运营时间06：00--24：00）全程约1小时10分钟，车费参考：普通票6400韩元，深夜票7100韩元。南怡岛门票：8000韩元/人（含渡轮费用）渡船运营时间：7：30--9：00每30分钟一班船；9：00--18：00每10--20分钟一班船；18：00--21：45每30分钟一班船（末班船从南怡岛出发）,"Nanyi Island의 많은 한국 드라마가 이곳에 와서 촬영을했으며, 섬의 무성한 나무는 매우 생태 학적입니다. 여기에 소원 나무가 있습니다 - 첫 키스 벤치 - 카페 ""러브 노래의 집""- 겨울의 연애 노래 스냅 샷 - 연인의 문 - 겨울의 남녀 주인공 동상 - 겨울 드라마에서 가장 유명한 수삼 도로 - 강변 산책로 - Chunchuan 치킨 볶음 도착 방법 : 서울 종합 버스 터미널 훈춘천 장거리 버스 여객 역 (운영 시간 06 : 00--24 : 00) 전체 여행은 약 1 시간 10 분, 요금 참조 : 일반 티켓 6400 원, 심야 티켓 7100 원. 난이 섬 티켓 : 8,000 원 / 인 (페리 요금 포함) 페리 운영 시간 : 7 : 30--9 : 30 분마다 보트, 9 : 00--18 : 00 10--20 분마다 보트; 18 : 00--21 : 30 분마다 45 배 (Nanyi Island에서 출발하는 마지막 보트)"
남이섬,5,5,2021년11월24일,Beautiful place😍,아름다운 장소 😍
남이섬,5,5,2021년3월11일,十一月去，秋意浓浓，到处见到一遍红叶、黄叶、绿叶......非常美和休闲浪漫的一日游&hellip;&hellip;还有坐小火车观赏沿途的风景也是写意醉人,"11 월에 가을은 강하고 붉은 잎, 노란 잎, 녹색 잎 ...... 매우 아름답고 캐주얼하고 낭만적 인 당일 치기 여행 ... 그리고 길을 따라 풍경을보기 위해 작은 기차를 타는 것도 취미입니다."
남이섬,6,5,2015년9월22일,很遗憾没坐滑绳过去，可是玩了蹦极真是很佩服我自己恐高啊我的妈，小心脏都抖出来了。室内要去基本不知道怎么去，我在韩国突然看到携程有199的团就马上报了，当天4人出车，导游会中文负责南怡岛小法兰西都同游，199包吃包门票还是不错的，蹦极40000一人，推荐试试不过临阵退缩就不让再跳了每人一次机会。我还是说了好久才让我跳第二次的，我的妈妈下来后我都没啥实感..,"나는 슬라이드를 타지 않은 것이 유감이지만 번지 점프를하는 것은 정말 존경합니다. 나는 두려워합니다. 어머니, 작은 심장이 흔들리고 있습니다. 나는 기본적으로 실내에 가고 싶다. 나는 어떻게 가야할지 모르겠다. 나는 갑자기 한국에서 Ctrip에 199 개의 그룹이 있다는 것을 알았고 즉시보고했다. 같은 날 4 명이 나왔다. 투어 가이드는 Nanyi Island의 작은 프랑스 여행을 책임지고있다. 패키지 티켓은 여전히 좋으며 번지 점프는 40,000 명입니다. 나는 그것을 시도하는 것이 좋습니다. 그러나 나는 퇴각하고 모든 사람의 기회를 뛰어 넘지 않을 것입니다. 나는 여전히 두 번째로 뛰어 오르는 데 오랜 시간이 걸렸다 고 말했다. 어머니가 내려간 후에는 아무런 느낌이 없었다."
남이섬,6,5,2015년2월21일,从首尔出发的话大致路线是这样：坐地铁到清凉里，直接换乘青春线ITX高铁（只要50分钟）到加平站。这里要注意一个事情，如果单纯只是游玩南怡岛就不需要买循环巴士车票，因为每人要5000，直接打车去码头只要起步价3000块！2人以上还是打车划算哦！岛上的风景非常好！有点原生态哦！都是泥地，如果是雨天的话一定要穿雨鞋哦！要不然鞋子就得扔了！好好逛逛得话一天都能花掉！走马观花半天就行！车站门口出来就有各国语言的导向图可以拿！拿着图去体会这冬季恋歌的浪漫吧！,"서울에서 출발하면 지하철을 Qingliangli로 가져 가서 Youth Line ITX 고속철도 (50 분)로 직접 Jiaping 역까지 이동합니다. 여기에주의를 기울여야합니다. Nanyi Island를 단순히 연주하는 경우 1 인당 5,000이 필요하기 때문에 순환 버스 티켓을 구입할 필요가 없습니다. 3000의 시작 가격으로 택시를 타고 부두로 직접 가십시오! 2 명 이상이 여전히 비용 효율적입니다! 섬의 풍경은 매우 좋습니다! 조금 원래 생태! 그것은 진흙 투성이입니다. 비가 오면 비 신발을 신어야합니다! 그렇지 않으면 신발을 버려야합니다! 쇼핑을한다면 하루 동안 보낼 수 있습니다! 오랜 시간 동안 걸을 수 있습니다! 역 입구에는 다양한 언어의지도가 있습니다! 이 겨울 사랑 노래의 로맨스를 경험하기 위해 사진을 찍으십시오!"
남이섬,6,5,2020년4월14일,南怡共和国是个集自然与人文于一体的原生态岛屿，江水环绕，森林覆盖，岛上遍布红松、银杏、枫树、水杉等各类植物，也有云稚园，恋莲池、静观楼等人文景观，放养的小动物们在林间自由觅食和奔跑。值得一去！,"Nanyi 공화국은 자연과 인류를 통합 한 원래 생태 섬으로 강과 숲으로 둘러싸여 있으며 소나무, 은행 나무, 단풍 나무, 삼나무 및 기타 식물로 둘러싸여 있으며 구름 유치원, 연인 연못, Jingguanlou 및 기타 인간 경관도 있습니다. 산에 사는 작은 동물들은 숲에서 자유롭게 먹고 달리고 있습니다. 방문 할 가치가있다!"
남이섬,6,4,2016년11월14일,崔智友、裴勇俊主演的《冬日恋歌》感动了无数少女，也捧红了南怡岛这个地方。南怡岛位于北汉江畔，在韩国京畿道和江原道分界线上，距离首尔市区(首尔的东北边)还是有一段不近的距离。这里以狭长的横向水流而著称，景色四季各异，推荐在黄叶飘飘的秋天和白雪纷飞的冬季前往，岛上还有鸵鸟，鹿群和各种水鸟，以及会举行各种艺术和摄影巡展在片里无数次出现过的水杉林更是成为了热门拍照地。走进南怡岛，你会发现遍地都能回想起《冬日恋歌》的情节，俊尚和维珍初吻的长椅、两人约会骑过的单车、维珍走过的圆木。如果觉得步行太累，在南怡岛中央广场还有租赁自行车的地方，双人车1小时大概是10000韩元左右，可以和朋友恋人骑车环游这个小岛。,"Cui Zhiyou와 Yu Yongjun이 주연 한 ""Winter Love Song""은 무수한 소녀들에게 감동을 주었고 Nanyi Island의 장소도 붉게 불렀습니다. Nanyi Island는 북한 강 유역에 위치하고 있으며 한국의 경기도와 장원도의 경계선에 있으며 서울시 (서울 북동쪽)와 거리가 멀지 않습니다. 좁은 수평선으로 유명하며 사계절이 다르며 노란 잎과 눈이 내리는 겨울에는 타조, 사슴, 다양한 물새가 있으며 영화에 여러 번 나타나는 다양한 예술 및 사진 투어가 열릴 것입니다. 삼나무 숲은 뜨거운 사진. Nanyi Island에 가면 ""겨울의 사랑 노래"", Junshang과 Virgin의 첫 키스, 두 사람이 자전거를 타고 데이트 한 자전거, Virgin이 걷는 통나무의 줄거리를 어디에서나 회상 할 수 있습니다. 걷는 것이 너무 피곤하다면, Nanyi Island의 중앙 광장에 자전거를 빌릴 수있는 곳이 있습니다. 2 인용 자동차는 1 시간당 약 10,000 원입니다. 친구와 연인과 함께이 섬을 자전거로 둘러 볼 수 있습니다."
남이섬,6,5,2020년4월15일,南怡岛在京畿道江原道，距离首尔有一定的距离，所以在网上报了个一日团，相对，会轻松一些。入口处有莫言的提词&ldquo;胜境&rdquo;。真的一入岛就被美到了，放眼望去到处都是草地和林荫小道，满眼秋色。,"Nanyi Island는 경기도 강원도에 위치하고 있으며 서울과는 일정 거리가 있으므로 온라인으로 하루 그룹을보고하는 것이 더 쉽습니다. 입구에는 ""승리""라는 단어가 있습니다. 섬에 들어 서면 정말 아름답습니다. 눈이 가을로 가득한 잔디와 그늘진 길로 가득합니다."
남이섬,7,5,2020년4월14일,我们在一进门的滑雪场就花费了好长时间，所以没有走完岛上所有的景点。到达南怡码头之后，购买门票（13000韩元/人，含往返游轮费）后搭乘渡轮，航程约7分钟，到达南怡岛共和国入口。,"우리는 문에 들어가는 스키 리조트를 오랫동안 보냈으므로 섬의 모든 명소를 끝내지 않았습니다. Nanyi Pier에 도착한 후 티켓 (13,000 원 / 인, 왕복 크루즈 요금 포함)을 구입 한 후 페리를 타고 약 7 분 동안 항해하여 Nanyi Island 공화국 입구로갑니다."
남이섬,7,5,2020년4월15일,一种是买船票进来，另一种是搭滑翔锁道，南怡岛乘船票，普通：13000韩币  优惠时：9000韩币，没有什么攻略，走到哪里算哪里。滑雪是免费的，还有两个人在维持秩序，负责安全。,"하나는 티켓을 사는 것이고, 다른 하나는 글라이딩 잠금 장치를 타고 난이 섬 티켓을 타고 보통 13,000 원 할인 : 9000 원, 해적은 없으며 어디로 가야할지 계산합니다. 스키는 무료이며, 질서를 유지하고 안전을 책임지는 두 사람이 있습니다."
남이섬,7,5,2020년4월15일,整体感觉就是个大公园 如果非常会摆拍的小姐姐可以来下 不然没必要单独跑一趟，春末夏初或许已经不是南怡岛最美的季节，但这满目的绿色盎然，吸一口新鲜空气，就是满满的养分。,"전반적인 느낌은 큰 공원입니다. 숙녀가 올 수 있다면, 혼자서 달리는 것은 필요하지 않습니다. 봄과 여름 초반에는 난이 섬에서 가장 아름다운 계절이 아닐 수도 있지만, 녹색의 전체 눈은 신선한 공기를 빨아들이고 영양분으로 가득합니다."
남이섬,7,4,2020년5월30일,南怡岛，是韓国首爾近郊之一个绝佳好去處，從首爾市过去有多種途徑，皆十分方便，而且更可参加当地旅行团，一日三遊，也可順帶多看一些景点。南恰岛雖地方大，但景点集中，春櫻、红葉，俱為其兩大绝景，而秋日水杉，更是恋曲之主点，因此無論何時，南怡岛都是遊客樂亦不绝之地。,"남이도는 서울 교외의 좋은 장소이며 서울시에서 여러 가지 방법이있어 매우 편리하며 현지 투어 그룹, 하루에 3 번 방문하거나 더 많은 명소를 볼 수 있습니다. Nancha Island는  크지 만 관광 명소는 집중되어 있으며 봄 벚꽃과 붉은 잎은 두 가지 주요 명소이며 가을 삼나무는 사랑의 주요 포인트이므로 Nanyi Island는 관광객입니다. 끝이 없습니다."
남이섬,7,5,2020년5월4일,南怡岛这个江中之岛因韩剧《冬季恋歌》而走红，虽然这部剧已经过气了，但这里真的很美，美在于它的本身，也充满了文艺气息，是个浪漫的地方，适合情侣约会，家庭出游，是个可以心情过慢生活的地方。南怡岛位于韩国首尔东方97公里的一个小岛，隶属于江原道春川市，是在1944年兴建清平水库时，江水淹没而形成的半月状岛屿，朝鲜时代南怡将军墓在此岛内而为名。,"Nanyi Island의 Jiangnaka Island는 한국 드라마 ""겨울 연인 노래""로 유명합니다.이 드라마는 이미 인기가 있지만 정말 아름답습니다. 아름다움은 그 자체로 문학적 분위기가 가득합니다. 데이트, 가족 여행에 적합한 낭만적 인 장소입니다. 느린 삶을 살 수있는 곳입니다. 난이 섬은 서울 동방 97km의 작은 섬에 위치하고 있으며 장원도 춘천시와 제휴하고 있으며 1944 년에 청평 저수지가 건설되었을 때 강이 물에 잠겨 반달 모양의 섬으로 한국 시대의 난이 장군의 무덤이 그 이름으로 지어졌습니다."
남이섬,8,4,2019년12월31일,因为韩剧《冬季恋歌》而认识南怡岛，来首尔一定要来南怡岛游玩一下，南怡岛是内陆岛屿，上岛就必须在京畿道加平的港口坐约10分钟的船到岛上。船的运营时间：07:30~09:00 (加平码头出发，首班船以后每隔30分钟运行)，09:00~18:00 (每隔10~20分钟运行)，18:00~21:40 (南怡码头出发，每隔30分钟运行)&nbsp;。游览南怡岛你可以选择慢慢步行，或者是租自行车慢慢骑行，也可以乘坐公园的电动车，游玩时间大概需要3-4小时。可惜我们来到已经是深秋末，树叶都基本落光或者是枯萎了，看不到这金黄色的美景。就连红枫叶也是大部分都枯萎了，但远看还是红红的一片，就像一片红色的海洋。在岛上漫步，欣赏着各种各样的植物，非常的原生态，也非常舒服。,"한국 드라마 ""겨울의 사랑 노래""로 인해 난이 섬을 알고 서울에 와서 난이 섬에 와서 놀아야합니다. 난이 섬은 내륙 섬입니다. 섬에 가면 경기도 가평 항구에서 약 10 분 동안 보트를 타야합니다. 보트 운영 시간 : 07 : 30-09 : 00 (Piaping Pier에서 출발, 첫 번째 보트는 30 분마다 운행), 09:00~18:00 (10 ~ 20 분마다 운행), 18:00~21:40 (Nanyi Pier에서 출발, 30 분마다 운행). Nanyi Island를 방문하면 천천히 걸거나 자전거를 빌려 천천히 탈 수 있으며 공원의 전기 자동차를 탈 수도 있습니다. 3-4 시간이 걸립니다. 불행히도, 우리는 이미 늦은 가을에 왔고, 잎은 기본적으로 빛을 잃거나 시들고 있으며,이 황금빛 아름다움을 볼 수 없습니다. 붉은 단풍 나무 잎조차도 대부분 시들하지만 멀리서 붉은 바다처럼 빨간색입니다. 섬을 산책하고 다양한 식물, 매우 독창적이고 매우 편안한 것을 즐기십시오."
남이섬,8,5,2019년9월28일,這個導遊令我感覺很舒服，說話節奏剛好，車上不時給我們講解其他地方值得遊覽或購買的資訊，很實用呢，還有當然對於韓國及這次旅遊景點的講解也很清晰，但又不會過於滔滔不絕亂說一通的，或者刻意找些爛笑話，這個一天遊的行程很滿意呢。,"이 투어 가이드는 나를 매우 편안하게 만들었고, 말의 리듬은 딱 맞았습니다. 차는 때때로 방문하거나 구매할 가치가있는 다른 장소에 대한 정보를 알려주었습니다. 매우 실용적이었습니다. 물론 한국과이 관광 명소에 대한 설명도 매우 분명하지만 너무 많이 말하지 않을 것입니다. 아니면 의도적으로 나쁜 농담을 찾고,이 당일 치기 여행은 매우 만족 스럽습니다."
남이섬,8,5,2020년4월15일,我们在一进门的滑雪场就花费了好长时间，所以没有走完岛上所有的景点。冬季恋歌拍摄地，会在每个拍摄点旁边表明场景，放上裴勇俊和崔智友的照片，当然人也是排着队照相。,"우리는 문에 들어갔을 때 오랫동안 스키 리조트를 보냈으므로 섬의 모든 명소를 끝내지 않았습니다. 겨울의 연애 노래 촬영 장소는 각 촬영 지점 옆에 장면을 보여줄 것이며, Yongjun과 Cui Zhiyou의 사진을 찍을 것입니다. 물론 사람들은 사진을 찍기 위해 줄을 서 있습니다."
남이섬,8,5,2020년4월15일,真的一入岛就被美到了，放眼望去到处都是草地和林荫小道，满眼秋色，没有汽车、没有电线杆是南怡岛的一大特色，到了周末随处可见韩国人或全家或情侣或三五好友协同出游。,"섬에 들어서 자마자 정말 아름다웠습니다. 초원과 가로수 길을 보았고, 가을이 가득했습니다. 자동차와 전선이없는 것은 Nanyi Island의 주요 특징이었습니다. 주말에는 한국인이나 가족이나 커플이나 3 ~ 5 명의 친구가 함께 여행 할 수 있습니다."
남이섬,9,5,2020년4월15일,下船后，我们直接坐了环岛的电瓶车，直接游览了一下，景色不错。环岛电瓶车司机会一直介绍岛上的景色，好像是在讲故事，但是我们听不懂，只有韩文。非常喜欢这里。,"배에서 내린 후, 우리는 직접 섬 주변의 배터리 차를 타고 직접 둘러 보았습니다. 풍경은 좋았습니다. 섬 주변의 배터리 차 운전자는 항상 섬의 풍경을 소개 할 것입니다. 이야기하는 것 같지만, 우리는 이해할 수 없습니다. 한국어 만 있습니다. 나는 그것을 정말로 좋아한다."
남이섬,9,5,2020년4월15일,在这里我没有觉得浪漫的感觉，反而多了温馨的感觉。整个岛其实也没什么好逛的，也就是当年，裴勇俊骑单车载着崔智友一直走的那条道而已，悠闲的逛一逛也不累人。,"나는 여기서 로맨스의 느낌을 느끼지 못했지만 더 따뜻한 느낌을 받았다. 섬 전체에 실제로 방문 할 것이 없습니다. 즉, Yongjun은 Cui Zhiyou가 걸어온 길을 자전거로 타고 여유롭게 산책하는 것은 피곤하지 않습니다."
남이섬,9,5,2020년4월15일,岛上还可以坐小火车，买票的时候可以看到下一班车是几点看，也可以体验一下。岛上还可以住，有小别墅什么的，还可以租自行车啊，小电动车什么的。值得一去。,"섬에서 작은 기차를 탈 수도 있습니다. 티켓을 구입할 때 다음 버스를 볼 수 있습니다. 섬에 살 수도 있고, 작은 빌라가 있으며, 자전거, 작은 전기 자동차 등을 빌릴 수도 있습니다. 방문 할 가치가 있습니다."
