장소,평점,작성연도,작성월,작성일,리뷰
남이섬,5,2015,9,22.0,"나는 슬라이드를 타지 않은 것이 유감이지만 번지 점프를하는 것은 정말 존경합니다. 나는 두려워합니다. 어머니, 작은 심장이 흔들리고 있습니다. 나는 기본적으로 실내에 가고 싶다. 나는 어떻게 가야할지 모르겠다. 나는 갑자기 한국에서 Ctrip에 199 개의 그룹이 있다는 것을 알았고 즉시보고했다. 같은 날 4 명이 나왔다. 투어 가이드는 Nanyi Island의 작은 프랑스 여행을 책임지고있다. 패키지 티켓은 여전히 좋으며 번지 점프는 40,000 명입니다. 나는 그것을 시도하는 것이 좋습니다. 그러나 나는 퇴각하고 모든 사람의 기회를 뛰어 넘지 않을 것입니다. 나는 여전히 두 번째로 뛰어 오르는 데 오랜 시간이 걸렸다 고 말했다. 어머니가 내려간 후에는 아무런 느낌이 없었다."
남이섬,5,2015,2,21.0,"서울에서 출발하면 지하철을 Qingliangli로 가져 가서 Youth Line ITX 고속철도 (50 분)로 직접 Jiaping 역까지 이동합니다. 여기에주의를 기울여야합니다. Nanyi Island를 단순히 연주하는 경우 1 인당 5,000이 필요하기 때문에 순환 버스 티켓을 구입할 필요가 없습니다. 3000의 시작 가격으로 택시를 타고 부두로 직접 가십시오! 2 명 이상이 여전히 비용 효율적입니다! 섬의 풍경은 매우 좋습니다! 조금 원래 생태! 그것은 진흙 투성이입니다. 비가 오면 비 신발을 신어야합니다! 그렇지 않으면 신발을 버려야합니다! 쇼핑을한다면 하루 동안 보낼 수 있습니다! 오랜 시간 동안 걸을 수 있습니다! 역 입구에는 다양한 언어의지도가 있습니다! 이 겨울 사랑 노래의 로맨스를 경험하기 위해 사진을 찍으십시오!"
남이섬,5,2020,4,14.0,"Nanyi 공화국은 자연과 인류를 통합 한 원래 생태 섬으로 강과 숲으로 둘러싸여 있으며 소나무, 은행 나무, 단풍 나무, 삼나무 및 기타 식물로 둘러싸여 있으며 구름 유치원, 연인 연못, Jingguanlou 및 기타 인간 경관도 있습니다. 산에 사는 작은 동물들은 숲에서 자유롭게 먹고 달리고 있습니다. 방문 할 가치가있다!"
남이섬,4,2016,11,14.0,"Cui Zhiyou와 Yu Yongjun이 주연 한 ""Winter Love Song""은 무수한 소녀들에게 감동을 주었고 Nanyi Island의 장소도 붉게 불렀습니다. Nanyi Island는 북한 강 유역에 위치하고 있으며 한국의 경기도와 장원도의 경계선에 있으며 서울시 (서울 북동쪽)와 거리가 멀지 않습니다. 좁은 수평선으로 유명하며 사계절이 다르며 노란 잎과 눈이 내리는 겨울에는 타조, 사슴, 다양한 물새가 있으며 영화에 여러 번 나타나는 다양한 예술 및 사진 투어가 열릴 것입니다. 삼나무 숲은 뜨거운 사진. Nanyi Island에 가면 ""겨울의 사랑 노래"", Junshang과 Virgin의 첫 키스, 두 사람이 자전거를 타고 데이트 한 자전거, Virgin이 걷는 통나무의 줄거리를 어디에서나 회상 할 수 있습니다. 걷는 것이 너무 피곤하다면, Nanyi Island의 중앙 광장에 자전거를 빌릴 수있는 곳이 있습니다. 2 인용 자동차는 1 시간당 약 10,000 원입니다. 친구와 연인과 함께이 섬을 자전거로 둘러 볼 수 있습니다."
남이섬,5,2020,4,15.0,"Nanyi Island는 경기도 강원도에 위치하고 있으며 서울과는 일정 거리가 있으므로 온라인으로 하루 그룹을보고하는 것이 더 쉽습니다. 입구에는 ""승리""라는 단어가 있습니다. 섬에 들어 서면 정말 아름답습니다. 눈이 가을로 가득한 잔디와 그늘진 길로 가득합니다."
남이섬,5,2020,4,14.0,"우리는 문에 들어가는 스키 리조트를 오랫동안 보냈으므로 섬의 모든 명소를 끝내지 않았습니다. Nanyi Pier에 도착한 후 티켓 (13,000 원 / 인, 왕복 크루즈 요금 포함)을 구입 한 후 페리를 타고 약 7 분 동안 항해하여 Nanyi Island 공화국 입구로갑니다."
남이섬,5,2020,4,15.0,"하나는 티켓을 사는 것이고, 다른 하나는 글라이딩 잠금 장치를 타고 난이 섬 티켓을 타고 보통 13,000 원 할인 : 9000 원, 해적은 없으며 어디로 가야할지 계산합니다. 스키는 무료이며, 질서를 유지하고 안전을 책임지는 두 사람이 있습니다."
남이섬,5,2020,4,15.0,"전반적인 느낌은 큰 공원입니다. 숙녀가 올 수 있다면, 혼자서 달리는 것은 필요하지 않습니다. 봄과 여름 초반에는 난이 섬에서 가장 아름다운 계절이 아닐 수도 있지만, 녹색의 전체 눈은 신선한 공기를 빨아들이고 영양분으로 가득합니다."
남이섬,4,2020,5,30.0,"남이도는 서울 교외의 좋은 장소이며 서울시에서 여러 가지 방법이있어 매우 편리하며 현지 투어 그룹, 하루에 3 번 방문하거나 더 많은 명소를 볼 수 있습니다. Nancha Island는  크지 만 관광 명소는 집중되어 있으며 봄 벚꽃과 붉은 잎은 두 가지 주요 명소이며 가을 삼나무는 사랑의 주요 포인트이므로 Nanyi Island는 관광객입니다. 끝이 없습니다."
남이섬,5,2020,5,4.0,"Nanyi Island의 Jiangnaka Island는 한국 드라마 ""겨울 연인 노래""로 유명합니다.이 드라마는 이미 인기가 있지만 정말 아름답습니다. 아름다움은 그 자체로 문학적 분위기가 가득합니다. 데이트, 가족 여행에 적합한 낭만적 인 장소입니다. 느린 삶을 살 수있는 곳입니다. 난이 섬은 서울 동방 97km의 작은 섬에 위치하고 있으며 장원도 춘천시와 제휴하고 있으며 1944 년에 청평 저수지가 건설되었을 때 강이 물에 잠겨 반달 모양의 섬으로 한국 시대의 난이 장군의 무덤이 그 이름으로 지어졌습니다."
남이섬,4,2019,12,31.0,"한국 드라마 ""겨울의 사랑 노래""로 인해 난이 섬을 알고 서울에 와서 난이 섬에 와서 놀아야합니다. 난이 섬은 내륙 섬입니다. 섬에 가면 경기도 가평 항구에서 약 10 분 동안 보트를 타야합니다. 보트 운영 시간 : 07 : 30-09 : 00 (Piaping Pier에서 출발, 첫 번째 보트는 30 분마다 운행), 09:00~18:00 (10 ~ 20 분마다 운행), 18:00~21:40 (Nanyi Pier에서 출발, 30 분마다 운행). Nanyi Island를 방문하면 천천히 걸거나 자전거를 빌려 천천히 탈 수 있으며 공원의 전기 자동차를 탈 수도 있습니다. 3-4 시간이 걸립니다. 불행히도, 우리는 이미 늦은 가을에 왔고, 잎은 기본적으로 빛을 잃거나 시들고 있으며,이 황금빛 아름다움을 볼 수 없습니다. 붉은 단풍 나무 잎조차도 대부분 시들하지만 멀리서 붉은 바다처럼 빨간색입니다. 섬을 산책하고 다양한 식물, 매우 독창적이고 매우 편안한 것을 즐기십시오."
남이섬,5,2019,9,28.0,"이 투어 가이드는 나를 매우 편안하게 만들었고, 말의 리듬은 딱 맞았습니다. 차는 때때로 방문하거나 구매할 가치가있는 다른 장소에 대한 정보를 알려주었습니다. 매우 실용적이었습니다. 물론 한국과이 관광 명소에 대한 설명도 매우 분명하지만 너무 많이 말하지 않을 것입니다. 아니면 의도적으로 나쁜 농담을 찾고,이 당일 치기 여행은 매우 만족 스럽습니다."
남이섬,5,2020,4,15.0,"우리는 문에 들어갔을 때 오랫동안 스키 리조트를 보냈으므로 섬의 모든 명소를 끝내지 않았습니다. 겨울의 연애 노래 촬영 장소는 각 촬영 지점 옆에 장면을 보여줄 것이며, Yongjun과 Cui Zhiyou의 사진을 찍을 것입니다. 물론 사람들은 사진을 찍기 위해 줄을 서 있습니다."
남이섬,5,2020,4,15.0,"섬에 들어서 자마자 정말 아름다웠습니다. 초원과 가로수 길을 보았고, 가을이 가득했습니다. 자동차와 전선이없는 것은 Nanyi Island의 주요 특징이었습니다. 주말에는 한국인이나 가족이나 커플이나 3 ~ 5 명의 친구가 함께 여행 할 수 있습니다."
남이섬,5,2020,4,15.0,"배에서 내린 후, 우리는 직접 섬 주변의 배터리 차를 타고 직접 둘러 보았습니다. 풍경은 좋았습니다. 섬 주변의 배터리 차 운전자는 항상 섬의 풍경을 소개 할 것입니다. 이야기하는 것 같지만, 우리는 이해할 수 없습니다. 한국어 만 있습니다. 나는 그것을 정말로 좋아한다."
남이섬,5,2020,4,15.0,"나는 여기서 로맨스의 느낌을 느끼지 못했지만 더 따뜻한 느낌을 받았다. 섬 전체에 실제로 방문 할 것이 없습니다. 즉, Yongjun은 Cui Zhiyou가 걸어온 길을 자전거로 타고 여유롭게 산책하는 것은 피곤하지 않습니다."
남이섬,5,2020,4,15.0,"섬에서 작은 기차를 탈 수도 있습니다. 티켓을 구입할 때 다음 버스를 볼 수 있습니다. 섬에 살 수도 있고, 작은 빌라가 있으며, 자전거, 작은 전기 자동차 등을 빌릴 수도 있습니다. 방문 할 가치가 있습니다."
남이섬,5,2020,4,15.0,"Nanyi Island는 하루 동안 놀고, 산책하고, 자전거를 타며 섬의 많은 놀이기구를 즐길 수 있습니다. 내가 갔던 날에 나는 눈을 보지 못했지만 아름다운 은행 나무와 삼나무 숲이있었습니다. 제 딸은 눈 부츠를 신고 눈사람과 얼음 조각을 가지고 즐거운 시간을 보냈습니다."
남이섬,5,2015,10,27.0,"겨울 연애 노래의 촬영지 인 난이 섬 (Nanyi Island)은 정말 아름답지만, 많은 관광객이 있으며 학생들이 봄 여행을 볼 수 있습니다. 조용한 날이라면 하루 동안 여기에 머무르는 것이 좋습니다."
남이섬,5,2020,4,15.0,"자연의 원래 생태학의 매력을 느낄 수 있고 독특한 문화를 경험할 수 있으며 다양한 인터랙티브 게임을 할 수 있습니다. 글쎄, 나는 Nanyi Island Amway를 모든 사람들에게주는 것을 암묵적으로 결정했다! 다시 올 기회를 가지십시오."
남이섬,5,2020,4,14.0,서울 교외의 인기있는 목적지입니다. 겨울의 연애 노래를 보지 못했지만 부모님의 겨울 연애 노래가 여기에서 상연되기를 바랍니다. 난이 섬의 온도는 도시보다 분명히 낮으며 옷을 추가하는 데주의하십시오.
남이섬,5,2020,4,15.0,"이 섬은 ""겨울 연애 노래""의 촬영으로 유명합니다. 가을의 풍경은 나쁘지 않습니다. 찍은 사진은 더 다채 롭습니다. 섬에는 많은 사람들이 있으며, 기본적으로 소수의 사람들이있는 순수한 땅을 찾을 수 없습니다. 그것은 너무 아름답습니다."
남이섬,5,2020,4,15.0,"경치는 아름답습니다. 5 월 1 일 휴가와 친구들이 스스로 가고, 섬은 아름답습니다. 우리가 Nanyi Island로 미끄러지는 과정은 매우 흥미롭고 많은 사람들이 없으며 섬에는 많은 공공 시설이 있습니다."
남이섬,5,2020,4,15.0,겨울 연인 노래의 촬영 장소이기 때문에 전 세계 관광객들의 시선을 끌었습니다. 지하철 고속철도 버스를 타고 약 1 시간 동안 난이 섬 페리에 도착하십시오. 경치는 즐겁고 가치가 있습니다!
남이섬,5,2020,4,15.0,"Nanyi Island는 섬에 보트로 10 분이 걸립니다. 겨울의 연인 노래 촬영 장소는 각 촬영 지점 옆에 장면을 보여줄 것이며, Yongjun과 Cui Zhiyou의 사진을 찍을 것입니다. 물론 사람들은 또한 사진을 찍기 위해 줄을 서 있습니다. 매우 아름답다!"
남이섬,5,2019,9,4.0,"풍경은 즐겁고 날씨는 아주 좋습니다. 여정은 합리적입니다. 마지막 귀환 징 Sir도 우리를 지정된 장소로 직접 보냈습니다. 모두가 함께 놀게되어 매우 기쁩니다. 징 Sir도 매우 흥미 롭습니다. 다음에 한국에 와서 놀 수있는 기회가있을 때, 나는 의사 소통 할 시간이 많이 있기를 바랍니다. 고마워."
남이섬,5,2019,10,8.0,"Nanyi Island는 겨울의 연인 노래로 유명하며, 가장 중요한 두 가지 매력을 펀치합니다. 하나는 눈사람의 첫 키스이고 다른 하나는 숲의 여가 공간입니다. 주말에는 많은 한국의 가족 여행 장소와 달리기 맨의 고도가 높은 로프웨이가 있습니다."
남이섬,5,2020,7,20.0,"""겨울의 연인 노래""는 테마파크와 같습니다."
남이섬,4,2020,3,12.0,한국의 유명한 인기 TV 드라마 (겨울의 사랑 노래)의 주요 촬영지 인 난이 섬 (Nanyi Island)은 반 킬로미터 길이의 샨린 애비뉴 (Shanlin Avenue)가 펀치의 중요한 장면이며 방문객들은 반드시 가야하며 섬의 가을 장면도 매우 아름답습니다. 메이플 레드는 어디에서나 볼 가치가 있습니다.
남이섬,5,2020,7,20.0,나는 지난 2 년 동안 거기에 있었고 풍경은 매우 아름답습니다. 다음에 올 것입니다.
남이섬,5,2020,4,14.0,"Nanyi Island에 대해 언급하면 많은 사람들의 첫 번째 반응이 ""겨울 사랑 노래""와 아내 살인자 인 Yong Jun이라고 생각합니다. 서울의 교외 풍경을 즐기고 서울의 ""Sansheng Huaxiang""이 어떻게 자랐는지 확인하십시오. 그래서 ""Nanyi Island""는 내 펀치 카드 목록에 들어 왔습니다."
남이섬,5,2015,9,8.0,Nanyi Island의 경치는 즐겁습니다. 봄과 가을에 특히 아름답습니다. 특히 가을의 황금빛 잎이 가득합니다. 섬에 가려면 약 10 분이 걸립니다. 4 월에 가면 벚꽃이 아름답습니다. 길을 따라 먹을 작은 다람쥐를 볼 수 있습니다.
남이섬,5,2016,1,15.0,"매우 가치있는 섬! 이 섬은 여전히 개인이라고합니다! 절대적으로 부자! 황금 은행 나무 잎이 땅에 떨어지고, 절대적으로 아름답게 뒤집혔다! 불행히도 늦었습니다. 10 월 말과 11 월 초에 가면 나무에 잎의 전체 행을 볼 수 있습니다! 이제 벌거벗은 나뭇가지밖에 없다!"
남이섬,5,2019,10,28.0,"우리의 박고 동생을 데려가는 것은 좋은 기술 바, 서비스 태도도 슈퍼 좋은, 마지막 중지, 나는 아이들과 놀고 싶지 않아, 동생이 차를 기다리게하고, 딸을위한 간식을 구입하고, 우유를 구입하고, 서비스는 슈퍼 좋은, 다음에 또 만나요."
남이섬,4,2020,3,5.0,"남이 은 서울 교외에 위치하고 있으며, 특별한 차가 있으며, TV 시리즈 겨울 러브 노래가 붉어지고 겨울 장면이 낭만적이며 가을에는 붉은 잎을 즐기기에 좋은 곳입니다. 펀치 카드를 놓치지 마십시오."
남이섬,4,2020,2,16.0,"올해 한반도에는 비가 적고 눈이 적으며, 난이 섬에 오는 대부분의 겨울은 황량합니다. 여기에는 많은 한옥이 있지만이 황량함에 그의 강력한 매력을 보여줍니다. 날씨가 매우 추울뿐만 아니라 많은 관광객이 있습니다."
남이섬,5,2016,2,28.0,Nanyi Island 은행 나무 애비뉴에 당일 치기 여행을보고했다. 수삼 애비뉴는 나쁘지 않다. 섬은 개인이다. 작은 공화국과 조금 다르다. 서두르지 않으면 오랫동안 천천히 걷는 것이 여전히 매우 적합하다. 문앞에 매운 볶음 치킨 볶음밥도 있습니다.
남이섬,5,2018,1,28.0,"춘천시의 난이 섬 경치 좋은 곳으로 전세가 가장 편리하거나 난이 섬 ➕ 작은 프랑스 마을에 당일 치기 여행에 참여하는 것이 매우 편리합니다. 유명한 한국 드라마 ""겨울 연애 노래""의 촬영 장소가 있습니다. 경치 좋은 지역에는 남녀 주인공의 사진과 동상이 있으며 TV 시리즈에 대한 추억이 가득합니다. 남편이 다시 연주하게되어 정말 기쁩니다!"
남이섬,5,2017,2,18.0,"서울 교외의 인기있는 명소 인 한국 드라마 팬들은 가야합니다. 서울은 한 시간 이상되었습니다. 매우 세련된 섬입니다. 부두에서 10 분 동안 보트를 타야합니다. 외국인 여권은 티켓을 구입할 수 있습니다. 섬은 그림 같은 풍경을 가지고 있으며, 겨울에는 사랑스러운 눈사람과 얼음 슬라이드가 있으며, 큰 눈이 내릴 수 있으며, 아이들은 즐거운 시간을 보내고 있습니다."
남이섬,4,2020,11,14.0,"작은 프랑스와 Nanyi Island는 아름답습니다. 아침의 조용한 곳은 특별한 하이라이트이며, 세 곳은 매우 좋습니다."
남이섬,5,2015,8,8.0,서울에서 60km 떨어진 난이 섬 (Nanyi Island)은 아름다운 천국입니다. 서울에서 지하철을 타고 섬으로가는 페리를 타십시오. 가장 유명한 곳은 높이가 크고 곧은 수삼림입니다. 섬에서 자전거를 빌릴 수 있으며 섬 주변을 타는 것은 매우 즐겁습니다.
남이섬,5,2019,7,16.0,"중국인은 적지 만 지금은 그룹이 있고 가고 싶지 않습니다. 전에는 중국인이이 장소를 알지 못했고, 한국의 젊은 여성이 겨울의 연인 노래가 관광 명소에 속하며 그 옆에 유원지가 있다고 말했지만 거기에 가지 않았습니다."
남이섬,5,2020,3,23.0,"Nanyi Island는 겨울의 연인 노래를 촬영할 수있는 장소이며, ""Star You""를 촬영하는 작은 프랑스는 도시에서 지하철로 1 시간 30 분이 소요됩니다. 난이 섬의 티켓은 특히 흥미 롭습니다. 멀리서 친구들을 사귀는 것은 조금 재미 있습니다. 한국인은 10,000 원, 외국인은 5,000 원입니다. 물론, 섬의 풍경도 매우 좋습니다. 한국에 오기 며칠 전에 비가 내렸고, 며칠 후 여전히 더 좋고 태양이 밝습니다. 물론 Nanyi Island는 Chunchuan에 가깝고 Chunchuan의 매운 볶음 치킨 볶음밥으로 유명합니다. 해산물 케이크를 주문하고 쌀 와인 한 그릇을 주문하면 맛이 좋습니다."
남이섬,5,2014,5,9.0,"나는 당일 치기 여행을 위해 Ctrip에 가기로 결정했다. 왜냐하면 여행 가이드는 우리를 운전하기 위해 비즈니스 차를 열었 기 때문에, 나는 200 조각의 꽃이 매우 가치가 있다고 느꼈다. Nanyi Island는 내가 Nanyi 공화국이라고 썼다. 나는 왜 내가 알지 못한다. 풍경은 매우 여유롭고, 숲은 특히 시적이다. 근처에서 점심을 먹는 Chunchuan 치킨 볶음은 당일 치기 여행에 포함되어 있습니다. 큰 풍경은 여유롭지 않고 여유롭게 산책하고 비우기에 적합합니다!"
남이섬,5,2020,7,19.0,"풍경이 좋다, 그것은 추천 할 가치가있다,"
남이섬,5,2019,11,10.0,가을에 난이 섬은 너무 아름다워 공기가 좋고 날씨가 좋으며 단풍 나무 잎과 붉은 은행 나무가 정말 아름답습니다. 휴대 전화로 사진을 보는 것은 3 차원 효과를 볼 수 없습니다. 현장을 육안으로보아야합니다.
남이섬,5,2014,12,4.0,"아침 식사 후 첫 번째 정류장은 Chunchuan의 Nanyi Island입니다. Nanyi Island는 춘천시 남산 팡 팡에 위치하고 있으며 원래는 섬이 아니지만 Qingping Reservoir의 건설으로 인해 북쪽 한강의 섬이 형성되었습니다. 남이도는 한국의 경기도와 강원도의 경계선에 위치하고 있으며 서울에서 춘천까지 63km 떨어져 있으며 좁은 수평 수로로 유명하며 독특한 아름다운 경관을 자랑합니다. 섬은 약 6Km, 면적은 13 만 평방 피트이며, 섬의 중앙에는 8 만 평방 피트 이상의 잔디가 있으며, 섬은 밤나무, 백로, 은행 나무, 단풍 나무 및 소나무와 같은 무성한 스크린으로 둘러싸여 있습니다. 다양한 엔터테인먼트 시설, 숙박 시설, 동물원, 식물원과 유람선조차도 포괄적 인 휴양지의 모습을 가지고 있습니다. Nanyi Island는 일년 내내 자연의 아름다움과 우아한 운을 가지고 있으며 연인과 가족 관광객은 짜여져 있습니다. 젊은이들에게 낭만적 인 분위기를 남기고 연인 난이 섬의 유명한 유칼립투스 숲은 좋은 추억을 남기고 가족과 일하는 사람들에게는 따뜻함이 가득하며 사랑받는 휴양지입니다."
남이섬,4,2020,1,5.0,"도시에서 하루 그룹에보고 할 수 있으며 무료 여행은 편리하지 않습니다. 풍경은 매우 좋으며, 특별한 천국, 가을은 매우 낭만적이며 유명한 TV 시리즈의 위치, 조용하고 아름다운 곳입니다. 오랫동안 놀아 보는 것이 좋습니다!"
남이섬,4,2020,5,6.0,이 섬의 자연 생태 또한 매우 특별합니다. 여기에 더 많은 관광객이 있습니다. 잘 생긴 작은 것들을 많이 볼 수 있습니다. 섬의 자연 경관 또한 매우 재미 있고 아주 좋은 위치입니다.
남이섬,5,2019,11,13.0,"가치가있는 여행, 가을은 너무 아름답습니다."
