장소,분류,운영시간,관광추천시간,주소
무이예술관,"미술관, 파인 아트 갤러리","월요일-화요일, 목요일-일요일 10:00-21:00 영업",정보없음,대한민국 강원도 평창군 봉평면 사리평길 233 KR
엑스포공원,도시 공원,정보없음,정보없음,강원도 삼척시 성남동 1-5
6.25 전쟁체험전시관,,정보없음,정보없음,대한민국 강원도 고성군 현내면 명호리 88-8
인제산촌민속박물관,박물관,영업시간 추후 공지,정보없음,대한민국 강원도 인제군 인제읍 상동리 415-1
정선 알파인 경기장,,정보없음,정보없음,대한민국 강원도 정선군 북평면 숙암리 산400
오세암,기타 종교 시설,1-2시간,정보없음,대한민국 강원도 인제군 북면 백담로 1325
황지연못,호수,00:00-23:59 영업,2-3시간,"황지 연못, 황지동 태백시 강원도 대한민국"
강원경찰박물관,박물관,화요일-일요일 09:30-17:00 영업,정보없음,강원도 춘천 신북읍 신사엠밭로 361
태백석탄박물관,박물관,화요일-일요일 09:00-18:00 영업,100-130분,강원도 태백 천제단길 195 (우) 235-030
오산리 선사유적박물관,박물관,09:00-18:00 영업,2-3시간,대한민국 강원도 양양군 손양면 오산리 51
검봉산 자연휴양림,산,"월요일, 수요일-일요일 09:00-18:00 영업",정보없음,강원도 삼척 원덕읍 임원안길 525-145 25956
범바위,지질 명소,0.5-1시간,정보없음,대한민국 강원도 속초시 금호동 610-21
알펜시아 스키점프센터,"전망대, 경기장/스타디움","월요일, 수요일-일요일 09:20-16:50 영업",정보없음,강원도 평창군 대관령면 솔봉로 325 (우) 25351
철의삼각전적지,"역사 건축물, 군사 시설",정보없음,정보없음,강원도 철원 (우) 269-810
대한불교조계종 수타사,기타 종교 시설,정보없음,정보없음,대한민국 강원도 홍천군 동면 수타사로 473
검룡소,호수,정보없음,정보없음,강원도 태백시 창죽동
춘천시구곡폭포관광지관리사무소,폭포,2시간,정보없음,강원도 춘천 남산면 강촌구곡길 314-1
청동 동상,조각상/조각품,8:00-17:00 영업,0.5-2시간,강원도 속초 설악동 설악산국립공원 내부
원주 구룡사 보광루,기타 종교 시설,1-2시간,정보없음,대한민국 강원도 원주시 소초면 학곡리 1029
서울 종가 김치 체험관,공장,1-3시간,정보없음,헝성군 헝성읍 목리 43-2
이승복기념관,박물관,1/1-2/28(겨울) 09:00-17:00 영업;3/1-10/31(여름) 09:00-18:00 영업;11/1-12/31(겨울) 09:00-17:00 영업,2-3시간,대한민국 강원도 평창군 용평면 노동리 327-2
스키911,경기장/스타디움,07:00-23:00 영업,정보없음,강원도 평창군 올림픽로 10 (우) 25347
조선민화박물관,박물관,수요일-일요일 09:00-18:00 영업,정보없음,대한민국 강원도 영월군 김삿갓면 김삿갓로 432-10
홍천생명건강과학관,박물관,화요일-일요일 09:00-17:00 영업,정보없음,대한민국 강원도 홍천군 홍천읍 연봉리 100-1
학무정,사적지,1-2시간,정보없음,대한민국 강원도 속초시 도문동
법흥사,"사찰, 역사 건축물",정보없음,정보없음,대한민국 강원도 영월군 수주면 법흥리 519-2
영금정,사적지,00:00-23:59 영업,정보없음,강원도 속초 영금정로 24 (우) 24824
월드온천24,온천 리조트,정보없음,정보없음,대한민국 강원도 춘천시 신북읍 산천리 310-13
Cheongpyeongsa Temple,사찰,1-2시간,정보없음,"810 Obongsan-gil, Buksan-myeon, Chuncheon-si, Gangwon-do"
Cheongnyeongpo,"지질 명소, 사적지",09:00-18:00 영업,0.5일,"Gwangcheon-ri, Nam-myeon, Yeongwol-gun, Gangwon-do"
철원 평화전망대,천문대,"월요일, 수요일-일요일 09:30-16:30 영업",정보없음,대한민국 강원도 철원군 동송읍 중강리 588-14
철원 노동당사,사적지,00:00-23:59 영업,1-2시간,대한민국 강원도 철원군 철원읍 관전리 3-5
금당계곡,래프팅,2-4시간,정보없음,강원도 평창군 대화면 개수리
중앙동,테마 거리,연중무휴,정보없음,강원도 속초시 중앙동
흔들바위,,정보없음,정보없음,강원 속초시 설악산로 833
양구통일관,,1/1-2/28(겨울) 09:00-17:00 영업;3/1-10/31(여름) 09:00-18:00 영업;11/1-12/31(겨울) 09:00-17:00 영업,정보없음,강원도 양구 해안면 해안서화로 35 (우) 24562
평창볼링센타,"훈련장, 경기장/스타디움, 볼링장",1-2시간,정보없음,대한민국 강원도 평창군 평창읍 종부리 495-7
마리소리골 악기박물관,박물관,수요일-일요일 09:00-18:00 영업,정보없음,강원도 홍천군 서석면 마리소리길 207 (우) 25167
해수바이오유황온천,,정보없음,정보없음,대한민국 경상남도 고성군 고성읍 신월리 592
남부탁구장,경기장/스타디움,정보없음,정보없음,강원도 원주시 명륜1동 26
일현미술관,박물관,화요일-일요일 10:00-18:00 영업,2-3시간,강원도 양양군 손양면 선사유적로 359
쌍 폭포,폭포,1-3시간,정보없음,강원도 동해시 삼화동
화천민속박물관,박물관,화요일-일요일 09:00-17:30 영업,정보없음,강원도 화천군 하남면 춘화로 3337
강원종합박물관,박물관,08:00-19:00 영업,정보없음,강원도 삼척시 신기면 신기리 375-4
보광사,"기타 종교 시설, 사적지",정보없음,정보없음,강원도 횡성군 횡성읍 남산로160번길 75 25242
향호저수지,호수,연중무휴,정보없음,강릉시 향호저수지
아들바위공원,호수,00:00-23:59 영업,정보없음,강원도 강릉 주문진읍 구소방서길 9-1 (우) 25414
밀양시립박물관,박물관,화요일-일요일 09:00-18:00 영업,정보없음,강원도 영월군 교동 485-4
운무산,"산, 하이킹",정보없음,정보없음,강원도 횡성군 청일면 속실길 25253
섬안관광농원,테마파크,정보없음,정보없음,강원도 영월군 무릉도원면 도원운학로 867 (우) 26201
도원유원지,,정보없음,정보없음,강원도 고성군 토성면 도원1리
국제현대미술관,박물관,1/1-6/30(겨울) 09:00-17:00 영업;7/1-8/31(여름) 09:00-18:00 영업;9/1-12/31(겨울) 09:00-17:00 영업,정보없음,강원도 영월군 영월읍 사목길 31 26223
미술관 자작나무숲,박물관,영업시간 추후 공지,정보없음,강원 횡성군 우천면 한우로두곡5길 186 두곡리 5
세계민속악기박물관,박물관,화요일-일요일 09:30-17:30 영업,정보없음,강원 영월군 남면 연당로 123 송정회관
팔랑민속관,,정보없음,정보없음,강원도 양구군 양구읍 중리 50-1
태백문화예술회관 대공연장,공연,정보없음,정보없음,강원도 태백 황지동 49-226
어라연 계곡,협곡,연중무휴,정보없음,강원도 영월군 영월읍 문산리
커피커퍼박물관,,정보없음,정보없음,강원도 강릉시 강문동 146-7
하늘마루염소목장,농장,10:00-18:00 영업,정보없음,"대한민국 강원도 평창군 방림면 삼형제길 297, 강원도 평창군"
구와우마을,,정보없음,정보없음,"강원도 태백 구와우길 26024, 대한민국"
구암갤러리,,정보없음,정보없음,강원도 춘천 동산면 원창리 1102-3
아리랑학교 추억의 박물관,박물관,화요일-일요일 10:00-18:00 영업,정보없음,강원도 정선군 신동읍 방제1리 162
백마고지전적지,도시 랜드 마크,연중무휴,정보없음,강원도 철원 철원읍 대마1길 72 (우) 24000
에스테틱황후,,정보없음,정보없음,강원도 춘천시 동면 만천리 450-1
나무향기한증막,스파,영업시간 추후 공지,정보없음,대한민국 강원도 춘천시 삼천동
필례약수터,,정보없음,정보없음,강원도 인제군 인제읍 귀둔리
제이스키,"캠핑장, 경기장/스타디움",08:30-21:00 영업,정보없음,대관령면 솔봉로 325 | 강원도 평창군 알펜시아 리조트
동호목욕탕,,정보없음,정보없음,강원도 횡성군 횡성읍 읍사리 134-9
하추자연휴양림,,정보없음,정보없음,강원도 인제 인제읍 하추로 686 (우) 24642
동해문화원,"예술 단지, 현대 건축물",정보없음,정보없음,강원도 동해 평원로 17 동해문화예술회관 뒤편 (2015년 신축이전)
송천 떡마을,,정보없음,정보없음,강원도 양양군 서면 송천리
김삿갓 유적지,,정보없음,정보없음,강원도 영월군 김삿갓면 와석리
플레이어스 골프 클럽,골프장,정보없음,정보없음,강원도 춘천 동산면 새술막길 438
어래산,,정보없음,정보없음,충청북도 단양 영춘면 의풍7길 (우) 27020
어답산,"산, 하이킹",정보없음,정보없음,강원도 횡성 갑천면 외갑천로 (우) 25252
봉복산,,정보없음,정보없음,강원도 횡성 청일면 청일로 (우) 25255
Chuncheon Puppet Theater (춘천인형극장),,정보없음,정보없음,강원 춘천시 사농동 277-3
발해역사관,,정보없음,정보없음,"강원도 속초시 노학동 736-16, 속초, 대한민국"
금강산볼링장,,정보없음,정보없음,강원도 철원군 동송읍 이평리 861-126
굿모닝사우나,,정보없음,정보없음,강원도 인제군 북면 원통리 667
